source	ext_id	title	pub_year	journal	authors	citation_type	direction	n_seeds	seed_record_ids	dedup_status	matched_record_id	pcc_gu	pcc_ai	pcc_pass
		Current and future applications of machine and deep learning in urology: a review of the literature on urolithiasis, renal cell carcinoma, and bladder and prostate cancer	2019	World J Urol	Suarez-Ibarrola		backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	31691082	Current and future applications of machine and deep learning in urology: a review of the literature on urolithiasis, renal cell carcinoma, and bladder and prostate cancer.	2019	World J Urol	Suarez-Ibarrola R, Hein S, Reis G, Gratzke C, Miernik A.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000569	new		yes	yes	yes
MED	31219658	Current status of artificial intelligence applications in urology and their potential to influence clinical practice.	2019	BJU Int	Chen J, Remulla D, Nguyen JH, Dua A, Liu Y, Dasgupta P, Hung AJ.	review; journal article	forward	1	REC-AIBIOGU-000199	new		yes	yes	yes
MED	31098801	Deep learning for automatic Gleason pattern classification for grade group determination of prostate biopsies.	2019	Virchows Arch	Lucas M, Jansen I, Savci-Heijink CD, Meijer SL, de Boer OJ, van Leeuwen TG, de Bruin DM, Marquering HA.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
		Deep learning-based Gleason grading of prostate cancer from histopathology images: role of multiscale decision aggregation and data augmentation	2019	IEEE J Biomed Health Inform	Karimi		backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	31304394	Development and validation of a deep learning algorithm for improving Gleason scoring of prostate cancer.	2019	NPJ Digit Med	Nagpal K, Foote D, Liu Y, Chen PC, Wulczyn E, Tan F, Olson N, Smith JL, Mohtashamian A, Wren JH, Corrado GS, MacDonald R, Peng LH, Amin MB, Evans AJ, Sangoi AR, Mermel CH, Hipp JD, Stumpe MC.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	31767543	Development of a Deep Learning Algorithm for the Histopathologic Diagnosis and Gleason Grading of Prostate Cancer Biopsies: A Pilot Study.	2019	Eur Urol Focus	Kott O, Linsley D, Amin A, Karagounis A, Jeffers C, Golijanin D, Serre T, Gershman B.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000569	new		yes	yes	yes
		Development of a deep learning algorithm for the histopathologic diagnosis and Gleason grading of prostate cancer biopsies: a pilot study	2019	Eur Urol Focus	Kott		backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	30696866	Epithelium segmentation using deep learning in H&E-stained prostate specimens with immunohistochemistry as reference standard.	2019	Sci Rep	Bulten W, Bandi P, Hoven J, Loo RV, Lotz J, Weiss N, Laak JV, Ginneken BV, Hulsbergen-van de Kaa C, Litjens G.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
		Hybrid unified deep learning network for highly precise Gleason grading of prostate cancer	2019	Conf Proc IEEE Eng Med Biol Soc	Poojitha		backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
